Descriptor	Semantic group	Definition	MoSCoW	Example: based on the following synthetic dataset  https://www.kaggle.com/datasets/uciml/breast-cancer-wisconsin-data. Where there is not information, we added made up a value example for the sake of clarity of what it can be added per metadata descriptor (cells in green).	Ontology (EDAM or OBO)	Ontology term IRI	EDAM term (for the values)	EDAM IRI	Bioschemas/schema.org property	Bioschemas marginality	Bioschemas cardinality	Bioschemas JSON example
Topic	Dataset	A category denoting a rather broad domain or field of interest, of study, application, work, data, or technology. Topics have no clearly defined borders between each other.	M	Cancer, healthcare	EDAM	EDAM:topic_0003	topic	http://edamontology.org/topic_0003	keywords	minimal	many	keywords: [{"@type":"DefinedTerm","name":"Oncology","inDefinedTermSet":"EDAM","termCode":"topic_2640"}, "http://edamontology.org/topic_2640", "cancer"]"
Data type	Dataset	A placeholder concept for visual navigation by dividing data formats by the content of the data that is represented.	M	Tabular, digitized image	EDAM	EDAM:data_0006	data	http://edamontology.org/data_0006	keywords	minimal	many	see Topic example
Application	Dataset	The machine learning task the synthetic data was generated for.	M	Prediction of malignancy	EDAM	EDAM:operation_0004	operation	http://edamontology.org/operation_0004	isPartOf	optional	many	isPartOf: ["http://edamontology.org/operation_3443",{"@type":"CreativeWork","name":"Prediction of malignancy"}]"
License	Dataset	A legal document giving official permission to do something with the resource.	M	https://creativecommons.org/licenses/by-nc-sa/4.0/	DUO	DCT:license			license	minimal	one	license: "https://creativecommons.org/licenses/by-nc-sa/4.0/"
Generation method	Tool	A planned process that produces output data from input data.	M	Variational Autoencoder algorithm	STATO	OBI:0200000	statistics and probability	http://edamontology.org/topic_2269	keywords	minimal	many	see Topic example
Author ORCID	Attribution	A standard alphanumeric code to uniquely identify scientific and other academic authors and contributors.	M	https://orcid.org/0000-0002-1825-0097	REPR	ORCID	person_id; organization_id	http://edamontology.org/data_2118	creator.identifier	recommended	many	creator: [{"@type": "Person", "identifier": "https://orcid.org/0000-0003-0169-8159"}, {"@type": "Person", "identifier": {"@type":"PropertyValue","name":"ORCID","url":"https://orcid.org/0000-0003-0169-8159"}}, {"@type": "Person", "identifier": {"@type":"PropertyValue","name":"ORCID","value":"0000-0003-0169-8159"}}]"
Dataset ID	Dataset	An identifier of the Dataset preferably a unique identifier such as Zenodo DOI. The URL where the synthetic data is archived (or the 'Record URL' value), can also be added here in case the dataset has not a unique identifier yet.	M	https://www.kaggle.com/datasets/uciml/breast-cancer-wisconsin-data	EDAM	EDAM:data_0842	identifier	http://edamontology.org/data_0842	identifier	minimal	many	identifier: [{"@type": "PropertyValue", "name": "doi", "value": "10.5281/zenodo.7388957"}, {"@type": "PropertyValue", "name": "doi", "url": "https://doi.org/10.5281/zenodo.7388957"}]"
Dataset name	Dataset	The name of the dataset, which need not necessarily uniquely identify it.	M	Breast Cancer Wisconsin (Diagnostic) Data Set	EDAM	EDAM:data_2099	name	http://edamontology.org/data_2099	name	minimal	one	name: "Breast Cancer Wisconsin (Diagnostic Data Set)"
Dataset description	Dataset	The description of the dataset	M	Predict whether the cancer is benign or malignant	EDAM	EDAM:data_3671	description	http://edamontology.org/data_3671	description	minimal	one	description: "Predict whether the cancer is benign or malignant"
Publication year	Dataset	The year in which a document was published	S	2022	MI	MI:0886	publication year	xsd:dateTime or http://purl.obolibrary.org/obo/MI_0886	datePublished	recommended	one	datePublished: "2022"
