,https://github.com/apache/incubator-airflow
0,https://github.com/argoproj/argo-workflows
1,https://github.com/azkaban/azkaban
2,https://github.com/brigadecore/brigade
3,https://github.com/zhennann/cabloy
4,https://github.com/uber/cadence
5,https://github.com/camunda
6,https://github.com/ChunelFeng/CGraph
7,https://github.com/CloudSlang/cloud-slang
8,https://github.com/Netflix/conductor
9,https://github.com/copper-engine/copper-engine
10,https://github.com/couler-proj/couler
11,https://github.com/broadinstitute/cromwell
12,https://github.com/yohamta/dagu
13,https://github.com/apache/dolphinscheduler
14,https://github.com/elsa-workflows/elsa-core
15,https://github.com/j-easy/easy-rules
16,https://github.com/fission/fission-workflows
17,https://github.com/floraison/flor
18,https://github.com/lyft/flyte
19,https://github.com/huginn/huginn
20,https://github.com/kubeflow/pipelines
21,https://github.com/hooopo/petri_flow
22,https://github.com/Netflix/metaflow
23,https://github.com/nextflow-io/nextflow
24,https://github.com/linkyndy/pallets
25,https://github.com/creactiviti/piper
26,https://github.com/systemslab/popper
27,https://github.com/PrefectHQ/prefect
28,https://github.com/ovh/utask
