,Unnamed: 0.1,Unnamed: 0,date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
0,0,0,2021-03-07,AK,305.0,,0,,1293.0,1293.0,33.0,0,,,,0,,,1660758.0,,2.0,56886.0,,0,0,,,,,68693.0,,,0,1731628.0,0,,,,,,0,1731628.0,0
1,1,1,2021-03-07,AL,10148.0,7963.0,-1,2185.0,45976.0,45976.0,494.0,0,2676.0,,1931711.0,2087,,,,1515.0,,499819.0,392077.0,408,0,,,,,,295690.0,,0,2323788.0,2347,,,119757.0,,2323788.0,2347,,0
2,2,2,2021-03-07,AR,5319.0,4308.0,22,1011.0,14926.0,14926.0,335.0,11,,141.0,2480716.0,3267,,,2480716.0,1533.0,65.0,324818.0,255726.0,165,0,,,,81803.0,,315517.0,,0,2736442.0,3380,,,,481311.0,,0,2736442.0,3380
3,3,3,2021-03-07,AS,0.0,,0,,,,,0,,,2140.0,0,,,,,,0.0,0.0,0,0,,,,,,,,0,2140.0,0,,,,,,0,2140.0,0
4,4,4,2021-03-07,AZ,16328.0,14403.0,5,1925.0,57907.0,57907.0,963.0,44,,273.0,3073010.0,13678,,,,,143.0,826454.0,769935.0,1335,0,,,,,,,,0,7908105.0,45110,580569.0,,444089.0,,3842945.0,14856,7908105.0,45110
5,5,5,2021-03-07,CA,54124.0,,258,,,,4291.0,0,,1159.0,,0,,,,,,3501394.0,3501394.0,3816,0,,,,,,,,0,49646014.0,133186,,,,,,0,49646014.0,133186
6,6,6,2021-03-07,CO,5989.0,5251.0,3,735.0,23904.0,23904.0,326.0,18,,,2199458.0,0,369995.0,,,,,436602.0,410976.0,840,0,63087.0,,,,,,6415123.0,38163,6415123.0,38163,435053.0,,,,2616541.0,6107,,0
7,7,7,2021-03-07,CT,7704.0,6327.0,0,1377.0,,,428.0,0,,,,0,,,6188566.0,,,285330.0,265709.0,0,0,,22245.0,,,323284.0,,,0,6520366.0,0,,396680.0,,,,0,6520366.0,0
8,8,8,2021-03-07,DC,1030.0,,0,,,,150.0,0,,38.0,,0,,,,,16.0,41419.0,,146,0,,,,,,29570.0,1261363.0,5726,1261363.0,5726,,,,,441942.0,1149,,0
9,9,9,2021-03-07,DE,1473.0,1337.0,9,136.0,,,104.0,0,,13.0,545070.0,917,,,,,,88354.0,83621.0,215,0,,,,,91873.0,,1431942.0,5867,1431942.0,5867,,,,,633424.0,1132,,0
10,10,10,2021-03-07,FL,32266.0,,66,,82237.0,82237.0,3307.0,92,,,9339038.0,19166,864153.0,816231.0,16887410.0,,,1909209.0,1548837.0,4024,0,190026.0,,178979.0,,2502506.0,,22339182.0,64599,22339182.0,64599,1054711.0,,995580.0,,11248247.0,23190,19482607.0,52132
11,11,11,2021-03-07,GA,17906.0,15598.0,1,2308.0,56797.0,56797.0,2008.0,35,9263.0,,,0,,,,,,1023487.0,828336.0,1709,0,78312.0,168867.0,,,803515.0,,,0,7359069.0,18827,482568.0,1484921.0,,,,0,7359069.0,18827
12,12,12,2021-03-07,GU,133.0,,0,,,,2.0,0,,1.0,112887.0,0,,,,,1.0,7749.0,7540.0,0,0,27.0,248.0,,,,7590.0,,0,120636.0,0,358.0,9299.0,,,,0,120426.0,0
13,13,13,2021-03-07,HI,445.0,445.0,1,,2226.0,2226.0,27.0,0,,5.0,,0,,,,,3.0,28699.0,27891.0,53,0,,,,,27774.0,,1146796.0,5117,1146796.0,5117,,,,,,0,,0
14,14,14,2021-03-07,IA,5558.0,,6,,,,167.0,0,,35.0,1044418.0,1299,,93984.0,2432425.0,,6.0,282384.0,282384.0,257,0,,60700.0,19704.0,57190.0,306343.0,320054.0,,0,1326802.0,1556,,1390094.0,113739.0,247999.0,1329195.0,1555,2753899.0,4464
15,15,15,2021-03-07,ID,1879.0,1652.0,3,227.0,7184.0,7184.0,150.0,5,1245.0,33.0,505964.0,535,,,,,,172931.0,139874.0,104,0,,,,,,96017.0,,0,645838.0,396,,123809.0,,,645838.0,396,1103725.0,877
16,16,16,2021-03-07,IL,23014.0,20763.0,12,2251.0,,,1141.0,0,,255.0,,0,,,,,112.0,1198335.0,,1068,0,,,,,,,,0,18640190.0,68094,,,,,,0,18640190.0,68094
17,17,17,2021-03-07,IN,12737.0,12310.0,11,427.0,43217.0,43217.0,656.0,64,7600.0,104.0,2483156.0,4643,,,,,50.0,667262.0,,746,0,,,,,760491.0,,,0,8242367.0,29427,,,,,3150418.0,5389,8242367.0,29427
18,18,18,2021-03-07,KS,4812.0,,0,,9387.0,9387.0,235.0,0,2554.0,50.0,974686.0,0,,,,411.0,22.0,295861.0,,0,0,,,,,,,,0,1270547.0,0,,602322.0,,,1270547.0,0,2525259.0,0
19,19,19,2021-03-07,KY,4819.0,4369.0,13,450.0,19457.0,19457.0,558.0,6,4034.0,156.0,,0,,,,,82.0,410709.0,314385.0,525,0,9929.0,37655.0,,,251921.0,48145.0,,0,3975672.0,0,111886.0,509047.0,,,,0,3975672.0,0
20,20,20,2021-03-07,LA,9748.0,9033.0,32,715.0,,,532.0,0,,,5261679.0,20578,,,,,75.0,433785.0,372514.0,740,0,,,,,,415954.0,,0,5695464.0,21318,,469967.0,,,,0,5634193.0,21098
21,21,21,2021-03-07,MA,16417.0,16085.0,43,332.0,19713.0,19713.0,665.0,0,,174.0,4404792.0,8028,,,,,116.0,591356.0,559083.0,1425,0,,,15425.0,,668145.0,508745.0,,0,16825551.0,96578,,,156185.0,580372.0,4963875.0,9309,16825551.0,96578
22,22,22,2021-03-07,MD,7955.0,7773.0,14,182.0,35651.0,35651.0,818.0,79,,215.0,3034546.0,2050,,169779.0,,,,387319.0,387319.0,709,0,,,28360.0,,472716.0,9703.0,,0,8097590.0,33128,,,198139.0,,3421865.0,2759,8097590.0,33128
23,23,23,2021-03-07,ME,706.0,683.0,2,23.0,1570.0,1570.0,67.0,4,,16.0,,0,14232.0,,,,8.0,45794.0,35846.0,159,0,869.0,10749.0,,,41510.0,12840.0,,0,1660180.0,7490,15113.0,213426.0,,,,0,1660180.0,7490
24,24,24,2021-03-07,MI,16658.0,15666.0,0,992.0,,,866.0,0,,222.0,,0,,,9869602.0,,97.0,656072.0,596054.0,0,0,,,,,752365.0,549881.0,,0,10621967.0,0,537073.0,,,,,0,10621967.0,0
25,25,25,2021-03-07,MN,6550.0,6276.0,4,274.0,25978.0,25978.0,224.0,2,5364.0,57.0,3058514.0,8218,,,,,,490011.0,465547.0,895,0,,,,,,476055.0,7111428.0,25369,7111428.0,25369,,451963.0,,,3524061.0,8998,,0
26,26,26,2021-03-07,MO,8161.0,,0,,,,955.0,0,,197.0,1878583.0,2950,127001.0,,4025535.0,,135.0,480643.0,480643.0,291,0,24926.0,83657.0,,,530741.0,,,0,4565866.0,10659,152126.0,906752.0,135759.0,366813.0,2359226.0,3241,4565866.0,10659
27,27,27,2021-03-07,MP,2.0,2.0,0,,4.0,4.0,,0,,,17429.0,0,,,,,,145.0,145.0,1,0,,,,,,29.0,,0,17574.0,1,,,,,17542.0,0,26131.0,0
28,28,28,2021-03-07,MS,6808.0,4737.0,3,2071.0,9162.0,9162.0,419.0,0,,89.0,1459374.0,0,,,,,47.0,297581.0,184278.0,260,0,,,,,,278162.0,,0,1756955.0,260,81986.0,748339.0,,,,0,1642348.0,0
29,29,29,2021-03-07,MT,1381.0,,0,,4630.0,4630.0,63.0,1,,12.0,,0,,,,,6.0,100914.0,95390.0,72,0,,,,,,97943.0,,0,1104488.0,3132,,,,,,0,1104488.0,3132
30,30,30,2021-03-07,NC,11502.0,10169.0,0,1333.0,,,1179.0,0,,309.0,,0,,,,,,872176.0,759617.0,0,0,,,,,,,,0,9688838.0,0,,805924.0,,,,0,9688838.0,0
31,31,31,2021-03-07,ND,1478.0,,0,,3880.0,3880.0,23.0,2,567.0,3.0,305912.0,-109,,,,,,100391.0,94928.0,34,0,,,,,,98326.0,1425146.0,679,1425146.0,679,,156698.0,,,406303.0,-75,1536487.0,881
32,32,32,2021-03-07,NE,2113.0,,0,,6237.0,6237.0,137.0,8,,,771128.0,542,,,2182938.0,,,203026.0,,373,0,,,,,235965.0,157144.0,,0,2421684.0,1,,,,,974759.0,978,2421684.0,1
33,33,33,2021-03-07,NH,1184.0,,3,,1131.0,1131.0,68.0,4,348.0,,579582.0,396,,,,,,76861.0,54064.0,166,0,,,,,,73615.0,,0,1497185.0,15697,39545.0,205103.0,37918.0,,633646.0,521,1497185.0,15697
34,34,34,2021-03-07,NJ,23574.0,21177.0,17,2397.0,64396.0,64396.0,1792.0,58,,376.0,10186941.0,0,,,,,232.0,812609.0,720939.0,2519,0,,,,,,,,0,10999550.0,2519,,,,,,0,10902830.0,0
35,35,35,2021-03-07,NM,3808.0,,12,,13252.0,13252.0,169.0,10,,,,0,,,,,,186922.0,,180,0,,,,,,156554.0,,0,2783542.0,11702,,,,,,0,2783542.0,11702
36,36,36,2021-03-07,NV,5037.0,,1,,,,399.0,0,,87.0,1131758.0,1829,,,,,48.0,296190.0,296190.0,730,0,,,,,,,2770192.0,6201,2770192.0,6201,,,,,1427948.0,2059,,0
37,37,37,2021-03-07,NY,39029.0,,59,,,,4789.0,0,,999.0,,0,,,,,682.0,1681169.0,,6789,0,,,,,,,39695100.0,227768,39695100.0,227768,,,,,,0,,0
38,38,38,2021-03-07,OH,17656.0,14752.0,0,2594.0,50881.0,50881.0,820.0,33,7207.0,260.0,,0,,,,,171.0,978471.0,836358.0,735,0,,86990.0,,,864925.0,925655.0,,0,10257157.0,29289,,1798150.0,,,,0,10257157.0,29289
39,39,39,2021-03-07,OK,4534.0,,0,,24332.0,24332.0,346.0,55,,100.0,3146300.0,0,,,3146300.0,,,428997.0,,461,0,23139.0,,,,389855.0,412177.0,,0,3575297.0,461,152279.0,,,,,0,3548479.0,0
40,40,40,2021-03-07,OR,2296.0,,3,,8714.0,8714.0,158.0,0,,32.0,,0,,,3624001.0,,12.0,157079.0,,195,0,,,,,226972.0,,,0,3850973.0,0,,,,,,0,3850973.0,0
41,41,41,2021-03-07,PA,24349.0,,32,,,,1587.0,0,,314.0,3942124.0,6592,,,,,183.0,948643.0,814540.0,1658,0,,,,,,861756.0,10681716.0,52432,10681716.0,52432,,,,,4756664.0,8073,,0
42,42,42,2021-03-07,PR,2062.0,1752.0,3,310.0,,,134.0,0,,21.0,305972.0,0,,,395291.0,,19.0,101632.0,93620.0,305,0,85241.0,,,,20103.0,91987.0,,0,407604.0,305,,,,,,0,415664.0,0
43,43,43,2021-03-07,RI,2547.0,,0,,9020.0,9020.0,141.0,0,,25.0,677570.0,1421,,,2970088.0,,16.0,128781.0,,265,0,,,,,153260.0,,3123348.0,13513,3123348.0,13513,,,,,806351.0,1686,,0
